incoming,name
ENSG00000001630,CYP51A1
ENSG00000003147,ICA1
ENSG00000003756,RBM5
ENSG00000004139,SARM1
ENSG00000004468,CD38
ENSG00000004777,ARHGAP33
ENSG00000004864,SLC25A13
ENSG00000005156,LIG3
ENSG00000005249,PRKAR2B
ENSG00000006327,TNFRSF12A
ENSG00000006432,MAP3K9
ENSG00000006451,RALA
ENSG00000006534,ALDH3B1
ENSG00000006555,TTC22
ENSG00000006625,GGCT
ENSG00000007264,MATK
ENSG00000007541,PIGQ
ENSG00000007933,FMO3
ENSG00000008086,CDKL5
ENSG00000008282,SYPL1
ENSG00000008300,CELSR3
ENSG00000008516,MMP25
ENSG00000008853,RHOBTB2
ENSG00000009765,IYD
ENSG00000009790,TRAF3IP3
ENSG00000010256,UQCRC1
ENSG00000010295,IFFO1
ENSG00000010327,STAB1
ENSG00000010626,LRRC23
ENSG00000010810,FYN
ENSG00000011021,CLCN6
ENSG00000011028,MRC2
ENSG00000011201,ANOS1
ENSG00000013293,SLC7A14
ENSG00000013374,NUB1
ENSG00000013441,CLK1
ENSG00000013810,TACC3
ENSG00000015133,CCDC88C
ENSG00000015520,NPC1L1
ENSG00000016402,IL20RA
ENSG00000017483,SLC38A5
ENSG00000019505,SYT13
ENSG00000020577,SAMD4A
ENSG00000021762,OSBPL5
ENSG00000022840,RNF10
ENSG00000023191,RNH1
ENSG00000023839,ABCC2
ENSG00000025423,HSD17B6
ENSG00000029993,HMGB3
ENSG00000031081,ARHGAP31
ENSG00000035720,STAP1
ENSG00000035862,TIMP2
ENSG00000038274,MAT2B
ENSG00000038295,TLL1
ENSG00000039523,RIPOR1
ENSG00000041353,RAB27B
ENSG00000041982,TNC
ENSG00000046889,PREX2
ENSG00000048991,R3HDM1
ENSG00000049192,ADAMTS6
ENSG00000049540,ELN
ENSG00000050030,NEXMIF
ENSG00000050555,LAMC3
ENSG00000051825,MPHOSPH9
ENSG00000053108,FSTL4
ENSG00000053254,FOXN3
ENSG00000053770,AP5M1
ENSG00000057657,PRDM1
ENSG00000057663,ATG5
ENSG00000058091,CDK14
ENSG00000059377,TBXAS1
ENSG00000061455,PRDM6
ENSG00000063015,SEZ6
ENSG00000064886,CHI3L2
ENSG00000065054,NHERF2
ENSG00000065328,MCM10
ENSG00000065413,ANKRD44
ENSG00000065618,COL17A1
ENSG00000065809,FAM107B
ENSG00000065882,TBC1D1
ENSG00000066027,PPP2R5A
ENSG00000066279,ASPM
ENSG00000066697,MSANTD3
ENSG00000067167,TRAM1
ENSG00000067596,DHX8
ENSG00000067840,PDZD4
ENSG00000068028,RASSF1
ENSG00000068120,COASY
ENSG00000068724,TTC7A
ENSG00000068784,SRBD1
ENSG00000068976,PYGM
ENSG00000069345,DNAJA2
ENSG00000069482,GAL
ENSG00000069493,CLEC2D
ENSG00000069535,MAOB
ENSG00000069974,RAB27A
ENSG00000070404,FSTL3
ENSG00000070610,GBA2
ENSG00000070669,ASNS
ENSG00000070915,SLC12A3
ENSG00000070950,RAD18
ENSG00000071073,MGAT4A
ENSG00000071205,ARHGAP10
ENSG00000071246,VASH1
ENSG00000072134,EPN2
ENSG00000072571,HMMR
ENSG00000072609,CHFR
ENSG00000072694,FCGR2B
ENSG00000072840,EVC
ENSG00000072952,IRAG1
ENSG00000073111,MCM2
ENSG00000073150,PANX2
ENSG00000073605,GSDMB
ENSG00000074370,ATP2A3
ENSG00000074410,CA12
ENSG00000074416,MGLL
ENSG00000074657,ZNF532
ENSG00000074966,TXK
ENSG00000075035,WSCD2
ENSG00000075275,CELSR1
ENSG00000075539,FRYL
ENSG00000075651,PLD1
ENSG00000076382,SPAG5
ENSG00000076604,TRAF4
ENSG00000076716,GPC4
ENSG00000076984,MAP2K7
ENSG00000077157,PPP1R12B
ENSG00000077279,DCX
ENSG00000078114,NEBL
ENSG00000078140,UBE2K
ENSG00000079335,CDC14A
ENSG00000079435,LIPE
ENSG00000079462,PAFAH1B3
ENSG00000079691,CARMIL1
ENSG00000079931,MOXD1
ENSG00000080031,PTPRH
ENSG00000080503,SMARCA2
ENSG00000080546,SESN1
ENSG00000080644,CHRNA3
ENSG00000080947,CROCCP3
ENSG00000081026,MAGI3
ENSG00000081051,AFP
ENSG00000081087,OSTM1
ENSG00000082074,FYB1
ENSG00000082212,ME2
ENSG00000082397,EPB41L3
ENSG00000082458,DLG3
ENSG00000082482,KCNK2
ENSG00000082512,TRAF5
ENSG00000082556,OPRK1
ENSG00000083123,BCKDHB
ENSG00000083290,ULK2
ENSG00000083444,PLOD1
ENSG00000084710,EFR3B
ENSG00000084764,MAPRE3
ENSG00000085117,CD82
