ensembl_id,symbol
ENSG00000004468,CD38
ENSG00000006327,TNFRSF12A
ENSG00000009694,TENM1
ENSG00000011028,MRC2
ENSG00000011052,NME1-NME2
ENSG00000011465,DCN
ENSG00000012779,ALOX5
ENSG00000012817,KDM5D
ENSG00000022556,NLRP2
ENSG00000023445,BIRC3
ENSG00000026751,SLAMF7
ENSG00000034971,MYOC
ENSG00000038427,VCAN
ENSG00000041982,TNC
ENSG00000048462,TNFRSF17
ENSG00000060718,COL11A1
ENSG00000062038,CDH3
ENSG00000066248,NGEF
ENSG00000067048,DDX3Y
ENSG00000067646,ZFY
ENSG00000072315,TRPC5
ENSG00000074410,CA12
ENSG00000074706,IPCEF1
ENSG00000075035,WSCD2
ENSG00000076864,RAP1GAP
ENSG00000077942,FBLN1
ENSG00000080493,SLC4A4
ENSG00000081479,LRP2
ENSG00000083454,P2RX5
ENSG00000086548,CEACAM6
ENSG00000088992,TESC
ENSG00000090104,RGS1
ENSG00000090382,LYZ
ENSG00000091137,SLC26A4
ENSG00000092758,COL9A3
ENSG00000099725,PRKY
ENSG00000099953,MMP11
ENSG00000099958,DERL3
ENSG00000100721,TCL1A
ENSG00000100985,MMP9
ENSG00000101210,EEF1A2
ENSG00000101938,CHRDL1
ENSG00000102096,PIM2
ENSG00000102109,PCSK1N
ENSG00000102174,PHEX
ENSG00000102265,TIMP1
ENSG00000102970,CCL17
ENSG00000104783,KCNN4
ENSG00000104879,CKM
ENSG00000105369,CD79A
ENSG00000105641,SLC5A5
ENSG00000105664,COMP
ENSG00000105976,MET
ENSG00000106100,NOD1
ENSG00000106483,SFRP4
ENSG00000106541,AGR2
ENSG00000106809,OGN
ENSG00000107317,PTGDS
ENSG00000108821,COL1A1
ENSG00000108846,ABCC3
ENSG00000108950,FAM20A
ENSG00000109182,CWH43
ENSG00000109819,PPARGC1A
ENSG00000110042,DTX4
ENSG00000110680,CALCA
ENSG00000110777,POU2AF1
ENSG00000110848,CD69
ENSG00000113296,THBS4
ENSG00000113396,SLC27A6
ENSG00000113924,HGD
ENSG00000113946,CLDN16
ENSG00000114374,USP9Y
ENSG00000115112,TFCP2L1
ENSG00000115414,FN1
ENSG00000115602,IL1RL1
ENSG00000115687,PASK
ENSG00000115705,TPO
ENSG00000115828,QPCT
ENSG00000116194,ANGPTL1
ENSG00000116983,HPCAL4
ENSG00000117069,ST6GALNAC5
ENSG00000117308,GALE
ENSG00000117322,CR2
ENSG00000118785,SPP1
ENSG00000119655,NPC2
ENSG00000120875,DUSP4
ENSG00000121966,CXCR4
ENSG00000122188,LAX1
ENSG00000122852,SFTPA1
ENSG00000122861,PLAU
ENSG00000123500,COL10A1
ENSG00000123700,KCNJ2
ENSG00000124107,SLPI
ENSG00000124145,SDC4
ENSG00000124205,EDN3
ENSG00000124256,ZBP1
ENSG00000125144,MT1G
ENSG00000125207,PIWIL1
ENSG00000125414,MYH2
ENSG00000125740,FOSB
ENSG00000125851,PCSK2
ENSG00000125869,LAMP5
ENSG00000125931,CITED1
ENSG00000128340,RAC2
ENSG00000129451,KLK10
ENSG00000129824,RPS4Y1
ENSG00000130203,APOE
ENSG00000130208,APOC1
ENSG00000130226,DPP6
ENSG00000130513,GDF15
ENSG00000131002,TXLNGY
ENSG00000131435,PDLIM4
ENSG00000132465,JCHAIN
ENSG00000132561,MATN2
ENSG00000133048,CHI3L1
ENSG00000133063,CHIT1
ENSG00000133110,POSTN
ENSG00000133800,LYVE1
ENSG00000134184,GSTM1
ENSG00000134548,SPX
ENSG00000134569,LRP4
ENSG00000134873,CLDN10
ENSG00000135824,RGS8
ENSG00000136110,CNMD
ENSG00000136155,SCEL
ENSG00000137077,CCL21
ENSG00000137261,KIAA0319
ENSG00000137265,IRF4
ENSG00000137648,TMPRSS4
ENSG00000137673,MMP7
ENSG00000137868,STRA6
ENSG00000138061,CYP1B1
ENSG00000138166,DUSP5
ENSG00000138356,AOX1
ENSG00000138722,MMRN1
ENSG00000138755,CXCL9
ENSG00000139329,LUM
ENSG00000139351,SYCP3
ENSG00000139626,ITGB7
ENSG00000141524,TMC6
ENSG00000141639,MAPK4
ENSG00000143171,RXRG
ENSG00000143196,DPT
ENSG00000143217,NECTIN4
ENSG00000143297,FCRL5
ENSG00000143369,ECM1
ENSG00000143632,ACTA1
ENSG00000145087,STXBP5L
ENSG00000145423,SFRP2
ENSG00000145824,CXCL14
ENSG00000145864,GABRB2
ENSG00000147041,SYTL5
ENSG00000147168,IL2RG
ENSG00000147255,IGSF1
ENSG00000147256,ARHGAP36
ENSG00000147257,GPC3
ENSG00000147606,SLC26A7
ENSG00000148346,LCN2
ENSG00000149573,MPZL2
ENSG00000149948,HMGA2
ENSG00000150625,GPM6A
ENSG00000151365,THRSP
ENSG00000151632,AKR1C2
ENSG00000152128,TMEM163
ENSG00000152207,CYSLTR2
ENSG00000152503,TRIM36
ENSG00000152580,IGSF10
ENSG00000153246,PLA2R1
ENSG00000153993,SEMA3D
ENSG00000154175,ABI3BP
ENSG00000154277,UCHL1
ENSG00000154319,FAM167A
ENSG00000154556,SORBS2
ENSG00000155897,ADCY8
ENSG00000156234,CXCL13
ENSG00000156299,TIAM1
ENSG00000156738,MS4A1
ENSG00000157404,KIT
ENSG00000157680,DGKI
ENSG00000157765,SLC34A2
ENSG00000159216,RUNX1
ENSG00000160180,TFF3
ENSG00000161405,IKZF3
ENSG00000161509,GRIN2C
ENSG00000161896,IP6K3
