ensembl_id,symbol,status
ENSG00000215283,GNE,in_symbol_only
ENSG00000225051,CANX,in_symbol_only
ENSG00000225125,MCRIP1,in_symbol_only
ENSG00000225215,HMG20A,in_symbol_only
ENSG00000225880,CCNL2,in_symbol_only
ENSG00000227638,SPNS1,in_symbol_only
ENSG00000233806,RTP5,in_symbol_only
ENSG00000234949,APC,in_symbol_only
ENSG00000251544,SLF1,in_symbol_only
ENSG00000255517,KEAP1,in_symbol_only
ENSG00000257718,SHMT2,in_symbol_only
ENSG00000259065,GNAS,in_symbol_only
ENSG00000259153,MAP3K8,in_symbol_only
ENSG00000259660,TARS3,in_symbol_only
ENSG00000259674,GCNT3,in_symbol_only
ENSG00000259749,TJP1,in_symbol_only
ENSG00000264529,TANC2,in_symbol_only
ENSG00000264714,SORBS1,in_symbol_only
ENSG00000270112,SLC26A2,in_symbol_only
ENSG00000274717,ARFGAP3,in_symbol_only
ENSG00000124593,PRICKLE4,in_symbol_only
ENSG00000176134,MTHFD1L,in_symbol_only
ENSG00000205740,GTPBP4,in_symbol_only
ENSG00000213888,URS0002A5869E_9606,in_symbol_only
ENSG00000215237,HPF1,in_symbol_only
ENSG00000223511,URS0000EED96D_9606,in_symbol_only
ENSG00000223947,TBC1D8B,in_symbol_only
ENSG00000224137,URS00008B52AE_9606,in_symbol_only
ENSG00000224272,PDCD11,in_symbol_only
ENSG00000225313,ZNF362,in_symbol_only
ENSG00000225421,SATB2,in_symbol_only
ENSG00000225889,LGALSL,in_symbol_only
ENSG00000226239,PDRG1,in_symbol_only
ENSG00000226380,MKLN1,in_symbol_only
ENSG00000226552,ZBTB18,in_symbol_only
ENSG00000226723,ABCE1,in_symbol_only
ENSG00000226741,URS000075A711_9606,in_symbol_only
ENSG00000226957,MAST2,in_symbol_only
ENSG00000227388,NPR2,in_symbol_only
ENSG00000227615,RPS12,in_symbol_only
ENSG00000227769,ATIC,in_symbol_only
ENSG00000227775,RPS7,in_symbol_only
ENSG00000227953,SCCPDH,in_symbol_only
ENSG00000228037,PRXL2B,in_symbol_only
ENSG00000228061,ELP4,in_symbol_only
ENSG00000228393,SRPK2,in_symbol_only
ENSG00000228421,CPVL,in_symbol_only
ENSG00000228643,ACP1,in_symbol_only
ENSG00000228705,NTSR1,in_symbol_only
ENSG00000228906,LRPPRC,in_symbol_only
ENSG00000228925,MCFD2,in_symbol_only
ENSG00000229591,KMT2C,in_symbol_only
ENSG00000229694,TPRN,in_symbol_only
ENSG00000229891,SMDT1,in_symbol_only
ENSG00000230393,REV1,in_symbol_only
ENSG00000230552,NFE2L2,in_symbol_only
ENSG00000230650,LIMS4,in_symbol_only
ENSG00000231106,CBR1,in_symbol_only
ENSG00000231113,CNPY3,in_symbol_only
ENSG00000231252,ARL6IP5,in_symbol_only
ENSG00000231367,HNRNPL,in_symbol_only
ENSG00000231615,TNFSF4,in_symbol_only
ENSG00000231711,LINC00862,in_symbol_only
ENSG00000231875,NLRP11,in_symbol_only
ENSG00000232234,BMP6,in_symbol_only
ENSG00000232442,SCAF8,in_symbol_only
ENSG00000232677,CIP2A,in_symbol_only
ENSG00000233078,HSPB7,in_symbol_only
ENSG00000233237,LRRC73,in_symbol_only
ENSG00000233461,TSNAX,in_symbol_only
ENSG00000233937,CTCFL,in_symbol_only
ENSG00000234432,FBXL18,in_symbol_only
