gene_index,gene_name,cluster_id,is_medoid
4,ENSG00000011052,0,False
5,ENSG00000011465,0,False
7,ENSG00000012817,0,False
11,ENSG00000034971,0,False
18,ENSG00000067048,0,False
19,ENSG00000067646,0,False
22,ENSG00000074706,0,False
23,ENSG00000075035,0,False
24,ENSG00000076864,0,False
25,ENSG00000077942,0,False
26,ENSG00000080493,0,False
27,ENSG00000081479,0,False
33,ENSG00000091137,0,False
34,ENSG00000092758,0,False
35,ENSG00000099725,0,False
41,ENSG00000101938,0,False
50,ENSG00000105641,0,False
56,ENSG00000106809,0,False
61,ENSG00000109182,0,False
62,ENSG00000109819,0,False
69,ENSG00000113924,0,False
71,ENSG00000114374,0,False
72,ENSG00000115112,0,False
76,ENSG00000115705,0,False
78,ENSG00000116194,0,False
94,ENSG00000124205,0,False
96,ENSG00000125144,0,False
99,ENSG00000125740,0,False
108,ENSG00000130226,0,False
110,ENSG00000131002,0,False
113,ENSG00000132561,0,False
117,ENSG00000133800,0,False
119,ENSG00000134548,0,False
122,ENSG00000135824,0,False
123,ENSG00000136110,0,False
125,ENSG00000137077,0,False
133,ENSG00000138356,0,False
134,ENSG00000138722,0,False
140,ENSG00000141639,0,False
142,ENSG00000143196,0,False
147,ENSG00000145087,0,False
155,ENSG00000147257,0,False
156,ENSG00000147606,0,False
160,ENSG00000150625,0,False
162,ENSG00000151632,0,False
166,ENSG00000152580,0,False
167,ENSG00000153246,0,False
168,ENSG00000153993,0,False
169,ENSG00000154175,0,False
171,ENSG00000154319,0,False
172,ENSG00000154556,0,False
177,ENSG00000157404,0,False
178,ENSG00000157680,0,False
181,ENSG00000160180,0,False
183,ENSG00000161509,0,False
184,ENSG00000161896,0,False
189,ENSG00000163395,0,False
194,ENSG00000164326,0,False
196,ENSG00000164530,0,False
197,ENSG00000164761,0,False
200,ENSG00000165061,0,False
201,ENSG00000166415,0,False
202,ENSG00000166426,0,False
203,ENSG00000166589,0,False
204,ENSG00000167434,0,False
206,ENSG00000168079,0,False
210,ENSG00000168702,0,False
215,ENSG00000170323,0,False
219,ENSG00000170624,0,True
225,ENSG00000174028,0,False
227,ENSG00000175084,0,False
232,ENSG00000176728,0,False
237,ENSG00000180581,0,False
246,ENSG00000183682,0,False
248,ENSG00000183878,0,False
253,ENSG00000184905,0,False
254,ENSG00000185038,0,False
259,ENSG00000186676,0,False
262,ENSG00000187134,0,False
266,ENSG00000188536,0,False
269,ENSG00000189058,0,False
270,ENSG00000196139,0,False
272,ENSG00000196616,0,False
276,ENSG00000197444,0,False
281,ENSG00000197766,0,False
283,ENSG00000198417,0,False
286,ENSG00000198626,0,False
287,ENSG00000198692,0,False
289,ENSG00000198848,0,False
293,ENSG00000205038,0,False
294,ENSG00000205358,0,False
296,ENSG00000206172,0,False
297,ENSG00000211452,0,False
367,ENSG00000220842,0,False
380,ENSG00000227081,0,False
381,ENSG00000227471,0,False
390,ENSG00000233705,0,False
391,ENSG00000233864,0,False
394,ENSG00000234857,0,False
395,ENSG00000235288,0,False
396,ENSG00000235655,0,False
422,ENSG00000244734,0,False
434,ENSG00000256500,0,False
436,ENSG00000256870,0,False
440,ENSG00000259024,0,False
441,ENSG00000259040,0,False
443,ENSG00000259352,0,False
448,ENSG00000260914,0,False
450,ENSG00000261771,0,False
451,ENSG00000261796,0,False
452,ENSG00000262202,0,False
453,ENSG00000262621,0,False
454,ENSG00000263798,0,False
455,ENSG00000264940,0,False
457,ENSG00000267645,0,False
458,ENSG00000269378,0,False
462,ENSG00000270757,0,False
467,ENSG00000273906,0,False
471,ENSG00000274276,0,False
493,ENSG00000283293,0,False
495,ENSG00000283766,0,False
497,ENSG00000285238,0,False
498,ENSG00000285565,0,False
499,ENSG00000285779,0,False
1,ENSG00000006327,1,False
2,ENSG00000009694,1,False
16,ENSG00000062038,1,False
20,ENSG00000072315,1,False
21,ENSG00000074410,1,False
30,ENSG00000088992,1,False
40,ENSG00000101210,1,False
43,ENSG00000102109,1,False
44,ENSG00000102174,1,True
55,ENSG00000106541,1,False
59,ENSG00000108846,1,False
60,ENSG00000108950,1,False
79,ENSG00000116983,1,False
81,ENSG00000117308,1,False
84,ENSG00000119655,1,False
85,ENSG00000120875,1,False
88,ENSG00000122852,1,False
93,ENSG00000124145,1,False
97,ENSG00000125207,1,False
98,ENSG00000125414,1,False
100,ENSG00000125851,1,False
102,ENSG00000125931,1,False
105,ENSG00000129824,1,False
106,ENSG00000130203,1,False
107,ENSG00000130208,1,False
109,ENSG00000130513,1,False
111,ENSG00000131435,1,False
114,ENSG00000133048,1,False
115,ENSG00000133063,1,False
120,ENSG00000134569,1,False
124,ENSG00000136155,1,False
137,ENSG00000139351,1,False
141,ENSG00000143171,1,False
145,ENSG00000143369,1,False
158,ENSG00000149573,1,False
159,ENSG00000149948,1,False
161,ENSG00000151365,1,False
164,ENSG00000152207,1,False
165,ENSG00000152503,1,False
187,ENSG00000162873,1,False
190,ENSG00000163638,1,False
199,ENSG00000164935,1,False
207,ENSG00000168389,1,False
213,ENSG00000169297,1,False
214,ENSG00000169302,1,False
216,ENSG00000170439,1,False
218,ENSG00000170558,1,False
220,ENSG00000171004,1,False
226,ENSG00000174460,1,False
229,ENSG00000175832,1,False
231,ENSG00000176532,1,False
238,ENSG00000180638,1,False
239,ENSG00000181019,1,False
243,ENSG00000182472,1,False
244,ENSG00000182824,1,False
245,ENSG00000183117,1,False
247,ENSG00000183793,1,False
251,ENSG00000184574,1,False
255,ENSG00000185303,1,False
257,ENSG00000185818,1,False
258,ENSG00000186529,1,False
261,ENSG00000187122,1,False
263,ENSG00000187823,1,False
267,ENSG00000188906,1,False
268,ENSG00000188910,1,False
277,ENSG00000197467,1,False
280,ENSG00000197696,1,False
290,ENSG00000204282,1,False
295,ENSG00000205795,1,False
363,ENSG00000214263,1,False
366,ENSG00000215183,1,False
370,ENSG00000223914,1,False
374,ENSG00000225342,1,False
382,ENSG00000229119,1,False
393,ENSG00000234810,1,False
397,ENSG00000237463,1,False
424,ENSG00000248923,1,False
427,ENSG00000251002,1,False
433,ENSG00000255346,1,False
435,ENSG00000256618,1,False
437,ENSG00000257342,1,False
442,ENSG00000259052,1,False
444,ENSG00000259417,1,False
445,ENSG00000259522,1,False
446,ENSG00000259781,1,False
447,ENSG00000259803,1,False
449,ENSG00000260943,1,False
456,ENSG00000267062,1,False
459,ENSG00000269968,1,False
460,ENSG00000270069,1,False
463,ENSG00000271980,1,False
464,ENSG00000272196,1,False
465,ENSG00000272638,1,False
466,ENSG00000273870,1,False
473,ENSG00000275385,1,False
474,ENSG00000275896,1,False
484,ENSG00000279753,1,False
489,ENSG00000281383,1,False
494,ENSG00000283703,1,False
