solution_id,medoid_1,medoid_2,medoid_3,medoid_4,XBEB,XBBB
pareto_1,SLC5A9,ZNF736,BOP1,GLT8D2,0.29003016524222563,0.575666987308089
pareto_2,SOSTDC1,TET1,SLC52A2,HLA-DRB1,0.2729451871741264,0.7655535517131706
pareto_3,SLC5A9,ZNF736,P4HB,PAMR1,0.32756558442027367,0.4782968761540227
pareto_4,PLCE1,TET1,SLC52A2,HLA-DRB1,0.27114067460186597,0.9496089667662311
pareto_5,PDE5A,TET1,SLC52A2,HLA-DRB1,0.27424513795750527,0.7556275144814736
pareto_6,HM13,ZNF736,SLC5A9,GLT8D2,0.28675807996432345,0.6465207050905627
pareto_7,SRGAP2B,NSUN5P1,UBE2K,SLC38A5,0.483320818088631,0.38502284725040914
pareto_8,SLC5A9,NSUN5P1,UBE2K,PAMR1,0.34964110104850765,0.40485389408404493
pareto_9,ANKRD61,NSUN5P1,TRAF4,TMIE,1.0203661337819312,0.3188867595649105
pareto_10,NSUN5P1,CILP2,CRY2,SLC38A5,0.42576946946725946,0.38931576998354733
pareto_11,ANKRD61,CILP2,TRAF4,TMIE,1.0286787871516496,0.3188426797781246
pareto_12,SRGAP2B,ANKRD61,UBE2K,SLC38A5,0.5509361663167001,0.3849497155580923
pareto_13,CILP2,NSUN5P1,TRAF4,TMIE,1.0348117297384445,0.31749186072846425
pareto_14,NSUN5P1,CILP2,BACH2,TMIE,0.6454583182604134,0.3676133685685127
pareto_15,ANKRD61,TMEM105,AXIN2,CILP2,0.7562038125188987,0.3542587574013046
pareto_16,TMIE,NSUN5P1,AXIN2,CILP2,0.7409859529648244,0.3599261598029763
pareto_17,ARHGAP39,GLT8D2,PCNA,SLC5A9,0.31467727718997657,0.5066419879088128
pareto_18,SLC5A9,NSUN5P1,GINS4,PAMR1,0.3415710896070194,0.42681808825972406
pareto_19,GINS4,TMEM105,SLC5A9,GLT8D2,0.2921945063888101,0.5220914492178216
pareto_20,ANKRD61,CILP2,TMEM105,CRYAB,0.5605051596796476,0.3798557411195425
pareto_21,FUT1,TET1,SLC52A2,LY86,0.2785468710281549,0.6565063133335884
pareto_22,CILP2,NSUN5P1,TRAF4,TMEM105,5.962096534672694,0.3170394055372707
pareto_23,ANKRD61,TMEM105,EPN2,CILP2,0.6940053821224932,0.3644614848968283
pareto_24,ANKRD61,TMEM105,BICD2,CILP2,0.5912763035500957,0.3793624457001247
pareto_25,ANKRD61,TMEM105,SH3GL2,CILP2,0.6127647429580787,0.3683004819333551
pareto_26,RGS9BP,TET1,SLC52A2,PODN,0.28679032576130753,0.5769721145045583
pareto_27,GINS4,TMEM105,FMOD,OVCH2,0.31687417297873144,0.5038061843292286
pareto_28,UBE2K,NSUN5P1,FMOD,SLC5A9,0.33481380517064724,0.45418122904485037
pareto_29,SLC5A9,ARHGAP40,PCNA,PAMR1,0.3590051291982758,0.40253678206188864
pareto_30,PLEKHA2,TET1,SLC52A2,SLC27A3,0.2670437782875234,1.2694138845628973
